RESEARCH PRODUCT (transversal metadata),,,,,,
Name,Description,Mandatory,Type,Values,Cardinality,Mineable
Title,The full title of the research product and its abbreviations or aliases.,Yes,String,,1-n,
Description,Brief text that describes the research product; its contents and features.,Yes,String,,1-n,
Creator,The creator of the research product. It could be a single person; a group of people; an organization; etc.,Yes,Organization; Person,ORCID; Catalogue,1-n,
Contributor,Person or organization that has contributed to the realization of the research product.,No,Organization; Person,ORCID; Catalogue,0-n,
Publisher,The publisher of the research product;  e.g. the University hosting the research product.,Yes,Organization; Person,ORCID; Catalogue,1-n,
Type,The type of research product.,Yes,Textual Archive; Digital Scholarly Edition; Software; LOD; Ontology,,1,
Identifier,An identifier of the research product; for example a DOI; ISBN or ISSN code.,No,String,,0-n,
Release Date,The date the research product was released. If possible; the date should be in full; otherwise the curator should indicate at least the year.,Yes,Date,ISO Date and Time format,1,
Language,The language(s) used in the research product.,No,Controlled Term,EU Vocabularies - Language ,0-n,
Format,The format in which the data is released.,No,URI,EU Vocabularies - File Type | IANA media types,0-n,
Metadata Standards,Metadata standards that the research product conforms to.,No,URI,Jenn Riley Dataset,0-n,
Status,The status of a research product in terms of its stage in a lifecycle.,No,URI,EU Vocabularies - Dataset Status,1,
Has Part,A research product that is part of the current one,No,URI,Dataset,0-n,
Is Part Of,A research product that the current one is part of.,No,URI,Dataset,0-1,
Academic field,The academic field(s) the research product pertains to. If possible; use the id and/or name of the official classification  (we reccomend italian scholars to use the 'Gruppo Scientifico Disciplinare' established by CUN).,No,URI,schema.gov - CUN,0-n,
Research activities,Research activities afforded by the research product.,Yes,URI,TaDiRAH,1-n,
Methodology,Research activities performed to realise the research product.,No,URI,TaDiRAH,1-n,
Downloads,The URL of the downloadable files; if available; or the URL of the download page.,Yes,URL,,1-n,
Current Version,The current version of the research product.,No,String,,1,
Landing Page,The website where the research product is presented.,Yes,URL,,0-1,
Bibliographic References,Bibliographic references to publications that describe or review the research product. The curator should insert the URL to the publication.,No,URL,,0-n,
Research Project,The research project the resarch product belongs to.,No,URI,,0-1,
Software reuse,The software component used to realise the research product; e.g. another research products.,No,URI,,0-n,
