Research product type,subclass of,Properties,description,expected Type,range Restriction,cardinality,stable,ATLAS,subproperty Of,RO-Crate,KNOT,OpenAIRE Graph,OpenAIRE Application Profile,SKG IF,IRIS
,,,,,,,,https://schema.org/Dataset,,https://schema.org/Dataset,http://www.w3.org/ns/dcat#Dataset,Research product,,Research product (M),
,,,,,,,,URI,,id,URI,id,datacite:identifier (M),local_identifier (M),id
schema:Dataset (all),https://schema.org/Dataset,Title (M),The full title of the research product and its abbreviations or aliases.,xsd:String,,1-n,TRUE,https://schema.org/name,,https://schema.org/name,http://purl.org/dc/terms/title,mainTitle,datacite:title (M),titles,dc.title
schema:Dataset (all),https://schema.org/Dataset,Description (M),"Brief text that describes the research product, its content and main features.",xsd:String,,1-n,TRUE,https://schema.org/description,,http://schema.org/description,http://purl.org/dc/terms/description,description,dc:description (MA),abstracts,dc.description.abstract
schema:Dataset (all),https://schema.org/Dataset,Creator (M),"The research product’s creator(s). It may be a single person, a group of people or an organisation.",URI,foaf:Agent[ORCID;catalogue],1-n,TRUE,https://schema.org/creator,,http://schema.org/author,http://purl.org/dc/terms/creator,author,datacite:creator (M),,dc.authority.people
schema:Dataset (all),https://schema.org/Dataset,Contributor,"A person, group, or organisation that has contributed to the creation or development of the research product.",URI,foaf:Agent[ORCID;catalogue],0-n,TRUE,https://schema.org/contributor,,/,/,contributor,datacite:contributor (MA),contributions; relevant_organizations,dc.contributor
schema:Dataset (all),https://schema.org/Dataset,Publisher (M),The publisher of the research product. It may also be a university or other institution hosting the research product.,URI,foaf:Agent[ORCID;catalogue],1-n,TRUE,https://schema.org/publisher,,http://schema.org/publisher,http://purl.org/dc/terms/publisher,publisher,dc:publisher (MA),relevant_organizations,dc.relation.projectFunderName; dc.relation.projectFundingStream
schema:Dataset (all),https://schema.org/Dataset,Type (M),"An additional RDF class for the item, providing more specific classification.",URI,https://w3id.org/dh-atlas/ScholarlyDigitalEdition ; https://w3id.org/dh-atlas/TextualArchive ; https://w3id.org/dh-atlas/LinkedOpenData ; https://w3id.org/dh-atlas/Ontology ; https://w3id.org/dh-atlas/Software,1,TRUE,https://schema.org/additionalType,,/,http://purl.org/dc/terms/type,type,oaire:resourceType (M),product_type,dc.type
schema:Dataset (all),https://schema.org/Dataset,Custom Type,"The type of research product, specified using a term from a controlled vocabulary.",URI,KNOT,0-n,TRUE,http://purl.org/dc/terms/type,,/,/,/,/,/,/
schema:Dataset (all),https://schema.org/Dataset,Identifier,A unique identifier of the research product. The same research product can be assigned multiple identifiers of different kinds.,xsd:String,,0-n,TRUE,https://schema.org/identifier,,http://schema.org/identifier,https://www.w3.org/ns/legacy_adms#identifier,pid,datacite:alternateIdentifier (R),,dc.identifier.uri; dc.identifier.doi
schema:Dataset (all),https://schema.org/Dataset,Release Date (M),The date the research product was released.,xsd:Date,,1,TRUE,https://schema.org/datePublished,,http://schema.org/datePublished,http://purl.org/dc/terms/issued,publicationDate,datacite:date (MA),,dc.date.issued
