ATLAS Class,Properties,description,expected Type,range Restriction,cardinality,stable,ATLAS,subproperty Of,RO-Crate,KNOT,OpenAIRE Graph,OpenAIRE Application Profile,SKG IF,IRIS
,,,,,,,https://schema.org/Dataset,,https://schema.org/Dataset,http://www.w3.org/ns/dcat#Dataset,Research product,,Research product (M),
,,,,,,,URI,,id,URI,id,datacite:identifier (M),local_identifier (M),id
https://schema.org/Dataset,Title (M),The full title of the research product and its abbreviations or aliases.,xsd:String,,1-n,TRUE,https://schema.org/name,,https://schema.org/name,http://purl.org/dc/terms/title,mainTitle,datacite:title (M),titles,dc.title
https://schema.org/Dataset,Description (M),Brief text that describes the research product; its content and features.,xsd:String,,1-n,TRUE,http://schema.org/description,,http://schema.org/description,http://purl.org/dc/terms/description,description,dc:description (MA),abstracts,dc.description.abstract
https://schema.org/Dataset,Creator (M),The creator of the research product. It could be a single person; a group of people; an organization; etc.,URI,foaf:Agent[ORCID;catalogue],1-n,TRUE,http://schema.org/creator,,http://schema.org/author,http://purl.org/dc/terms/creator,author,datacite:creator (M),,dc.authority.people
https://schema.org/Dataset,Contributor,Person or organization that has contributed to the realization of the research product.,URI,foaf:Agent[ORCID;catalogue],0-n,TRUE,https://schema.org/contributor,,/,/,contributor,datacite:contributor (MA),contributions; relevant_organizations,dc.contributor
https://schema.org/Dataset,Publisher (M),The publisher of the research product; e.g. the University hosting the research product.,URI,foaf:Agent[ORCID;catalogue],1-n,TRUE,http://schema.org/publisher,,http://schema.org/publisher,http://purl.org/dc/terms/publisher,publisher,dc:publisher (MA),relevant_organizations,dc.relation.projectFunderName; dc.relation.projectFundingStream
https://schema.org/Dataset,Type (M),The type of research product.,URI,atlas:ScholarlyDigitalEdition ; atlas:TextualArchive ; atlas:LinkedOpenData ; atlas:Ontology ; atlas:Software,1,TRUE,https://schema.org/additionalType,,/,http://purl.org/dc/terms/type,type,oaire:resourceType (M),product_type,dc.type
https://schema.org/Dataset,Identifier,An identifier of the research product; e.g. a DOI; ISBN or ISSN code.,xsd:String,,0-n,TRUE,http://schema.org/identifier,,http://schema.org/identifier,https://www.w3.org/ns/legacy_adms#identifier,pid,datacite:alternateIdentifier (R),,dc.identifier.uri; dc.identifier.doi
https://schema.org/Dataset,Release Date (M),The date or year the research product was released.,xsd:Date,,1,TRUE,http://schema.org/datePublished,,http://schema.org/datePublished,http://purl.org/dc/terms/issued,publicationDate,datacite:date (MA),,dc.date.issued
https://schema.org/Dataset,Language,The language(s) used in/by the research product.,URI,EU Vocabularies - Language,0-n,TRUE,https://schema.org/inLanguage,,https://schema.org/inLanguage,http://purl.org/dc/terms/language,language,dc:language (MA),,dc.language.iso
https://schema.org/Dataset,Format,The format in which the data is released.,URI,EU Vocabularies - File Type | IANA Media Types,0-n,TRUE,https://schema.org/encodingFormat,,https://schema.org/encodingFormat,/,/,dc:format (R),,dc.relation.medium
https://schema.org/Dataset,Metadata standards,Metadata standards that the research product conforms to.,URI,Jenn Riley Dataset,0-n,TRUE,http://purl.org/dc/terms/conformsTo,,/,,,,,
