ONTOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Title,Description,Creator,Contributor,Publisher,Type,Identifier,Release Date,Language,Format,Metadata standards,Status,Has Part,Is Part Of,Academic field,Research Activities,Methodology,Downloads,Current Version,Landing Page,Bibliographic References,Research Project,Software reuse,Access point,Documentation,Access Rights,License,Namespace,Imported or Referenced Models
CIDOC-CRM,CIDOC Conceptual Reference Model,It is an ontology that provides a formal structure for describing the implicit and explicit relationships between cultural heritage objects; their histories; and their contexts.,International Committee on Documentation (CIDOC) ; CIDOC Conceptual Reference Model Special Interest Group,/,CIDOC Conceptual Reference Model Special Interest Group,http://purl.org/spar/fabio/OntologyDocument,ISO 21127,1999-01-01,ENG http://publications.europa.eu/resource/authority/language/ENG ,EU Vocabularies: http://publications.europa.eu/resource/authority/file-type/XML ; http://publications.europa.eu/resource/authority/file-type/RDF ; http://publications.europa.eu/resource/authority/file-type/OWL ; http://publications.europa.eu/resource/authority/file-type/JSON_LD ecc. ,Jenn Riley Dataset: http://www.w3.org/TR/rdf-primer/ ; http://cidoc.ics.forth.gr/ ,Develop http://publications.europa.eu/resource/authority/dataset-status/DEVELOP ,https://cidoc-crm.org/lrmoo/ ; https://cidoc-crm.org/pressoo/ ; https://cidoc-crm.org/crminf/ ; https://cidoc-crm.org/crmarchaeo/ ; https://cidoc-crm.org/crmsci/ ; https://cidoc-crm.org/crmgeo/ ; https://cidoc-crm.org/crmdig/ ; https://cidoc-crm.org/crmba/ ; https://cidoc-crm.org/crmtex/ ; https://cidoc-crm.org/crmsoc/ ; https://cidoc-crm.org/crmact/ ,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/MSC-01-B ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-10 ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-11 ,"https://vocabs.dariah.eu/tadirah/linkedOpenData ; 
https://vocabs.dariah.eu/tadirah/organizing ; https://vocabs.dariah.eu/tadirah/modeling ; 
https://vocabs.dariah.eu/tadirah/mapping ; 
https://vocabs.dariah.eu/tadirah/semantification ",https://vocabs.dariah.eu/tadirah/en/page/encoding ; https://vocabs.dariah.eu/tadirah/en/page/organizing  ; https://vocabs.dariah.eu/tadirah/en/page/semantification ; https://vocabs.dariah.eu/tadirah/en/page/modeling ,https://www.cidoc-crm.org/Version/version-7.1.3,7.01.03,https://cidoc-crm.org/,https://cidoc-crm.org/publicationsPage ,/,,,https://www.cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf ; https://www.cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.docx ; https://cidoc-crm.org/rdfs/7.1.3/CIDOC_CRM_v7.1.3.rdf ,Open Access http://purl.org/coar/access_right/c_abf2,CC BY 4.0 https://w3id.org/italia/controlled-vocabulary/licences/A21_CCBY40 ,http://www.cidoc-crm.org/cidoc-crm/,
HiCO,The Historical Context Ontology (HiCO),It is an ontology developed for representing the context of a claim in the domain of history.,Marilena Daquino ( https://orcid.org/0000-0002-1113-7550 ),Francesca Tomasi ( https://orcid.org/0000-0002-6631-8607 ); Silvio Peroni ( https://orcid.org/0000-0003-0530-4305 ), Università di Bologna,http://purl.org/spar/fabio/OntologyDocument,/,2014-01-01,ENG http://publications.europa.eu/resource/authority/language/ENG ,EU Vocabularies:  http://publications.europa.eu/resource/authority/file-type/RDF_XML ; http://publications.europa.eu/resource/authority/file-type/OWL ; http://publications.europa.eu/resource/authority/file-type/JSON_LD ,Jenn Riley Dataset: http://www.w3.org/TR/rdf-primer/ ; https://www.ifla.org/news/frbroo-as-ifla-standard/ ,Develop http://publications.europa.eu/resource/authority/dataset-status/DEVELOP ,http://purl.org/spar/ ,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-01 ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-10 ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-11 ,"https://vocabs.dariah.eu/tadirah/linkedOpenData ; 
https://vocabs.dariah.eu/tadirah/modeling ; 
https://vocabs.dariah.eu/tadirah/mapping ; 
https://vocabs.dariah.eu/tadirah/semantification ",https://vocabs.dariah.eu/tadirah/en/page/semantification ; https://vocabs.dariah.eu/tadirah/en/page/mapping  ,http://arco.istc.cnr.it:8080/ontologies/HICO/submissions/1/download?apikey=1de0a270-29c5-4dda-b043-7c3580628cd5 ; http://arco.istc.cnr.it:8080/ontologies/HICO/download?apikey=1de0a270-29c5-4dda-b043-7c3580628cd5&download_format=csv ; http://arco.istc.cnr.it:8080/ontologies/HICO/download?apikey=1de0a270-29c5-4dda-b043-7c3580628cd5&download_format=rdf ,2.0,http://purl.org/emmedi/hico ,https://dx.doi.org/10.1007/978-3-319-24129-6_37 ; https://hdl.handle.net/11585/487578 ,/,,,https://marilenadaquino.github.io/hico/current/hico.owl ,Open Access http://purl.org/coar/access_right/c_abf2,CC BY 4.0 https://w3id.org/italia/controlled-vocabulary/licences/A21_CCBY40 ,http://purl.org/emmedi/hico/ ,cito http://purl.org/spar/cito/ ; core http://purl.org/vocab/frbr/core# ; dc http://purl.org/dc/elements/1.1/ ; emmedi http://purl.org/emmedi/ ; frbr http://purl.org/vocab/frbr/ ; ns http://www.w3.org/ns/ ; owl http://www.w3.org/2002/07/owl# ; prov http://www.w3.org/ns/prov# ; rdf http://www.w3.org/1999/02/22-rdf-syntax-ns# ; rdfs http://www.w3.org/2000/01/rdf-schema# ; spar http://purl.org/spar/ ; vann http://purl.org/vocab/vann/ ; xsd http://www.w3.org/2001/XMLSchema# 
SPAR,Semantic Publishing and Referencing Ontologies (SPAR), It is a suite of orthogonal and complementary ontologies that enable all aspects of the publishing process to be described in machine-readable metadata statements.,Silvio Peroni( https://orcid.org/0000-0003-0530-4305 ) ; David Shotton,Aldo Gangemi;  Alexandru Constantin; Aliaksandr Birukou; Alistair Miles; Andrea Bagnacani; Andrea Giovanni Nuzzolese; Angelo Di Iorio; Ciro Mattia Gonano; Deborah A. Lapeyre; Enrico Motta; Fabio Vitali; Graham Klyne; Francesca Mambelli; Francesca Tomasi ( https://orcid.org/0000-0002-6631-8607 ); Francesco Osborne; Francesco Poggi; Jacopo Zingoni; Jun Zhao; Katie Portwin; Marilena Daquino ( https://orcid.org/0000-0002-1113-7550 ); Paolo Ciancarini; Paolo Ciccarese; Raffaele Giannella; Steve Pettifer; Tim Clark,,http://purl.org/spar/fabio/OntologyDocument,/,,ENG http://publications.europa.eu/resource/authority/language/ENG ,EU Vocabularies: http://publications.europa.eu/resource/authority/file-type/XML ; http://publications.europa.eu/resource/authority/file-type/RDF ; http://publications.europa.eu/resource/authority/file-type/OWL ; http://publications.europa.eu/resource/authority/file-type/JSON_LD ecc. ,Jenn Riley Dataset: http://www.w3.org/TR/rdf-primer/ ,Develop http://publications.europa.eu/resource/authority/dataset-status/DEVELOP ,http://www.sparontologies.net/ontologies/bido ;  http://www.sparontologies.net/ontologies/biro ; http://www.sparontologies.net/ontologies/c4o ; http://www.sparontologies.net/ontologies/cito ; http://www.sparontologies.net/ontologies/deo ; http://www.sparontologies.net/ontologies/doco ; http://www.sparontologies.net/ontologies/fabio ; http://www.sparontologies.net/ontologies/fivestars ; http://www.sparontologies.net/ontologies/fr ; http://www.sparontologies.net/ontologies/pro ; http://www.sparontologies.net/ontologies/pso ; http://www.sparontologies.net/ontologies/pwo ,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-01 ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-10 ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-11 ,"https://vocabs.dariah.eu/tadirah/linkedOpenData ; 
https://vocabs.dariah.eu/tadirah/identifying ; 
https://vocabs.dariah.eu/tadirah/organizing ; https://vocabs.dariah.eu/tadirah/modeling ; 
https://vocabs.dariah.eu/tadirah/mapping ; 
https://vocabs.dariah.eu/tadirah/semantification ",https://vocabs.dariah.eu/tadirah/en/page/encoding ; https://vocabs.dariah.eu/tadirah/en/page/organizing  ; https://vocabs.dariah.eu/tadirah/en/page/semantification ; https://vocabs.dariah.eu/tadirah/en/page/modeling ,/,/,http://www.sparontologies.net/ ,https://link.springer.com/chapter/10.1007/978-3-030-00668-6_8 ,/,,,http://www.sparontologies.net/examples,Open Access http://purl.org/coar/access_right/c_abf2,CC BY 4.0 https://w3id.org/italia/controlled-vocabulary/licences/A21_CCBY40 ,http://purl.org/spar/ ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
